Region,CountryName,CountryCode,PM10,PM10Year,PM2dot5,PM2dot5Year,checkGeometry
Emr LMI,Afghanistan,AFG,268,2009,84,2009,
Eur HI,Andorra,AND,24,2010,16,,TRUE
Amr LMI,Argentina,ARG,30,2012,16,,
Wpr HI,Australia,AUS,10,,6,2010-2011,
Eur HI,Austria,AUT,27,2011,19,2011,
Emr HI,Bahrain,BHR,254,2012,57,2012,TRUE
Sear ,Bangladesh,BGD,163,2013,79,2013,
Eur LMI,Belarus,BLR,24,2008,16,,
Eur HI,Belgium,BEL,27,2011,18,2011,
Sear ,Bhutan,BTN,23,2011,10,,
Amr LMI,Bolivia,BOL,51,2010,27,,TRUE
Eur LMI,Bosnia and Herzegovina,BIH,49,2010,33,,
Amr LMI,Brazil,BRA,41,2012,22,,
Wpr HI,Brunei Darussalam,BRN,12,2010,5,,TRUE
Eur LMI,Bulgaria,BGR,58,2011,41,2011,
Amr HI,Canada,CAN,11,2010-2012,8,2010-2012,
Amr HI,Chile,CHL,64,2011,28,2008-2012,
Wpr LMI,China,CHN,90,2010,41,,
Amr LMI,Colombia,COL,43,2010-2012,24,,
Amr LMI,Costa Rica,CRI,31,2011,17,,
Eur HI,Cyprus,CYP,36,2011,23,2011,
Eur HI,Czech Republic,CZE,29,2011,21,2011,
Eur HI,Denmark,DNK,13,2010,16,2011,
Amr LMI,Ecuador,ECU,38,2012,18,,
Emr LMI,Egypt,EGY,136,2011,74,2011,
Eur HI,Estonia,EST,13,2011,7,2011,
Eur HI,Finland,FIN,12,2011,7,2011,
Eur HI,France,FRA,25,2011,18,2011,
Eur HI,Germany,DEU,23,2011,17,2011,
Afr,Ghana,GHA,98,2008,49,2008,
Eur HI,Greece,GRC,26,2011,17,,
Amr LMI,Guatemala,GTM,45,2012,33,2012,
Amr LMI,Honduras,HND,58,2013,32,2013,
Eur LMI,Hungary,HUN,33,2011,27,2011,
Eur HI,Iceland,ISL,9,2011,5,2011,
Sear ,India,IND,134,2009-2012,59,,
Sear ,Indonesia,IDN,48,2010,21,,
Emr LMI,Iran,IRN,127,2010,76,2010,
Eur HI,Ireland,IRL,18,2011,9,2011,
Eur HI,Israel,ISR,64,2010,23,2010,
Eur HI,Italy,ITA,32,2011,25,2011,
Amr LMI,Jamaica,JAM,36,2011,20,,
Wpr HI,Japan,JPN,21,2010,10,,
Emr LMI,Jordan,JOR,128,2010,48,,
Eur HI,Latvia,LVA,23,2011,16,2009,
Emr LMI,Lebanon,LBN,63,2010,20,2010,
Eur HI,Lithuania,LTU,23,2011,15,,
Eur HI,Luxembourg,LUX,18,2011,14,2011,
Wpr LMI,Malaysia,MYS,29,2011,13,,
Sear ,Maldives,MDV,20,2011,9,,TRUE
Eur HI,Malta,MLT,,,12,2011,TRUE
Afr,Mauritius,MUS,72,2010,37,,
Amr LMI,Mexico,MEX,79,2011,27,2011,
Eur HI,Monaco,MCO,20,2010,13,,TRUE
Wpr LMI,Mongolia,MNG,140,2009-2010,64,,
Sear  ,Myanmar,MMR,69,2008,30,,
Sear ,Nepal,NPL,114,2008,50,,
Eur HI,Netherlands,NLD,25,2011,17,2011,
Wpr HI,New Zealand,NZL,16,2011-2012,7,,
Eur HI,Norway,NOR,20,2011,8,2011,
Emr HI,Oman,OMN,82,2008-2010,31,,
Emr LMI,Pakistan,PAK,282,2010,101,2010,
Amr LMI,Paraguay,PRY,,,18,2010,
Amr LMI,Peru,PER,63,2011,38,2011,
Wpr LMI,Philippines,PHL,50,2010,23,,
Eur HI,Poland,POL,39,2011,27,2011,
Eur HI,Portugal,PRT,27,2011,12,2011,
Emr HI,Qatar,QAT,165,2012,92,2012,
Wpr HI,Republic of Korea,KOR,51,2010,23,,TRUE
Eur LMI,Romania,ROU,39,2011,20,2011,
Eur LMI,Russian Federation,RUS,33,2009,22,,TRUE
Emr HI,Saudi Arabia,SAU,87,2011,28,2011,
Afr,Senegal,SEN,179,2012,40,2012,
Eur LMI,Serbia,SRB,53,2011,36,,TRUE
Wpr HI,Singapore,SGP,27,2011,17,2011,TRUE
Eur HI,Slovakia,SVK,34,2011,26,2011,
Eur HI,Slovenia,SVN,31,2011,24,2011,
Afr,South Africa,ZAF,56,2011-2012,27,2011-2012,
Eur HI,Spain,ESP,23,2011,12,2011,
Sear ,Sri Lanka,LKA,64,2010,28,,
Eur HI,Sweden,SWE,17,2011,9,2011,
Eur HI,Switzerland,CHE,23,2011,15,,
Sear ,Thailand,THA,39,2012,21,,
Eur LMI,Turkey,TUR,58,2011,39,,
Afr,Unit. Rep. of Tanzania,TZA,35,2011,23,2011,TRUE
Emr HI,United Arab Emirates,ARE,161,2011,61,,
Eur HI,United Kingdom,GBR,21,2011,14,2011,
Amr HI,United States of America,USA,20,,12,2012,
Amr HI,Uruguay,URY,27,2012,18,2012,
Amr LMI,Venezuela,VEN,47,2011,26,,TRUE
Wpr LMI,Vietnam,VNM,65,2009,30,,
,,,,,,,
,,,,,,,
Note on the conversion and color coding,,,,,,,
Converted values are shaded,,,,,,,
"If cities annual mean for PM2.5 were available for more than 1/3 of the city PM10 values, population-weighted average of available  city PM2.5 were used as country mean.",,,,,,,
"If no or some city annual mean for PM2.5 were available but for less than 1/3 of the city PM10 values, the country annual mean PM2.5 was obtained by multiplying the country annual mean PM10 by a: ",,,,,,,
#NAME?,,,,,,,
#NAME?,,,,,,,
"If no city annual mean for PM10 was available (applicable for USA, Australia and Singapore only):",,,,,,,
- PM2.5/PM10 conversion factor of 0.6,,,,,,,
